u,v,key,edge_id,from,to,length
31939028,31940241,0,4908471,31940241,31939028,2220.3300000000004
31939028,1858976799,0,175280665,1858976799,31939028,591.405
31940241,1858977657,0,78889169,31940241,1858977657,611.836
32068072,1858977642,0,275015480,1858977642,32068072,738.293
32068072,2796781448,0,604034728,2796781448,32068072,2100.403
353459162,1824915598,0,78889163,353459162,1824915598,121.537
353459162,6222134873,0,311496564,353459162,6222134873,45.382000000000005
353459162,6222135645,0,311496564,6222135645,353459162,207.651
353473836,1683653930,0,156063291,1683653930,353473836,154.929
353473836,8367090672,0,156063291,8367090672,353473836,97.496
353473836,1923742065,0,31589005,1923742065,353473836,32.834
353473838,2480665444,0,131754016,2480665444,353473838,69.147
353473838,1449663419,0,708839655,1449663419,353473838,63.544
353473838,2480665396,0,886966510,2480665396,353473838,64.809
353473855,1686083994,0,156354918,353473855,1686083994,105.139
353473855,1972831643,0,708839651,353473855,1972831643,102.89399999999999
353473855,1686106757,0,156354918,1686106757,353473855,99.474
353473855,1687469022,0,708839651,1687469022,353473855,102.092
606976533,606976534,0,708673713,606976533,606976534,216.30599999999998
606976533,2482807546,0,240550822,2482807546,606976533,66.19
606976533,2482807550,0,708673713,2482807550,606976533,58.408
606976534,1449662643,0,708673713,606976534,1449662643,106.65
606976534,2482807629,0,240550804,2482807629,606976534,251.95499999999998
817882546,2480666987,0,240325503,817882546,2480666987,48.84400000000001
817882546,2480666988,0,240325560,2480666988,817882546,112.077
817882546,2480666973,0,240325485,2480666973,817882546,48.991
817882565,8733016765,0,943135809,817882565,8733016765,29.61
817882565,8733016768,0,943135810,8733016768,817882565,26.019
817882673,2480667236,0,240325262,817882673,2480667236,28.09
817882673,2480667230,0,240325429,817882673,2480667230,28.324999999999996
817882673,2480667213,0,240325262,2480667213,817882673,12.081
817882844,817883108,0,240325060,817882844,817883108,70.269
817882844,2480667237,0,240325262,817882844,2480667237,35.631
817882844,2480667236,0,240325262,2480667236,817882844,8.984
817882966,2480666973,0,240550309,817882966,2480666973,12.82
817882966,1698321257,0,240325061,1698321257,817882966,143.097
817882966,2480666969,0,240550309,2480666969,817882966,34.317
817883108,2480667237,0,67735040,817883108,2480667237,67.213
817883108,2353805547,0,943135814,2353805547,817883108,391.014
923665748,1824915619,0,299168854,923665748,1824915619,312.521
923665748,2479555933,0,240201986,923665748,2479555933,105.801
923665748,1824915598,0,299168854,1824915598,923665748,492.627
923665771,923665814,0,"[240201008, 175280671]",923665771,923665814,168.874
923665771,923665807,0,175280670,923665807,923665771,434.17800000000017
923665771,1858976781,0,240201008,1858976781,923665771,453.638
923665796,1824915616,0,311496564,923665796,1824915616,197.031
923665796,2316677674,0,240201958,2316677674,923665796,48.537000000000006
923665796,2479555792,0,311496564,2479555792,923665796,197.28699999999998
923665807,1858976799,0,175280665,923665807,1858976799,377.65299999999996
923665807,1858977130,0,508574293,1858977130,923665807,252.489
923665814,923665868,0,78889175,923665814,923665868,547.8770000000001
923665814,1824915662,0,175280675,923665814,1824915662,512.176
923665868,1858977331,0,275015480,923665868,1858977331,232.484
923665868,1858976803,0,508574135,1858976803,923665868,367.03599999999994
1449572534,2479553906,0,240201003,1449572534,2479553906,171.44
1449572534,2479553541,0,240201003,2479553541,1449572534,149.822
1449572534,2479553554,0,240201236,2479553554,1449572534,27.507
1449572573,2476143907,0,239833432,1449572573,2476143907,13.428
1449572573,1449663701,0,239833968,1449663701,1449572573,47.974000000000004
1449572573,2476143802,0,239833432,2476143802,1449572573,67.048
1449572584,4978608553,0,239833429,4978608553,1449572584,84.904
1449572584,2476142214,1,"[886198107, 886198109, 239833438]",1449572584,2476142214,201.671
1449572584,2476142214,0,"[886198108, 886198110, 239833439]",2476142214,1449572584,202.067
1449662588,8237559361,0,240325544,1449662588,8237559361,3.446
1449662588,1449662599,0,240325544,1449662599,1449662588,41.535999999999994
1449662588,1449663460,0,403759707,1449663460,1449662588,657.5459999999998
1449662590,2480665561,0,240325487,2480665561,1449662590,38.576
1449662590,2480665557,0,131754016,2480665557,1449662590,63.393
