u,v,key,edge_id,from,to,length
582438,260686562,0,24036992,582438,260686562,84.67399999999999
582438,260685848,0,244739161,582438,260685848,142.764
582438,2283841569,0,246510580,2283841569,582438,28.22
582438,2540005278,0,934452672,2540005278,582438,22.029
587993,459347433,0,"[780219126, 153916350, 38738766]",587993,459347433,152.547
587993,176011687,0,"[252274186, 524259148, 524259149]",587993,176011687,298.798
587993,25929414,0,524487872,25929414,587993,80.99499999999999
597282,130009702,0,"[944406432, 8213521, 858017730]",597282,130009702,511.15900000000005
597282,25872025,0,"[944404757, 974489742]",597282,25872025,121.232
597282,25871831,0,183489030,25871831,597282,98.752
597283,445043546,0,37916481,597283,445043546,76.649
597283,25871833,0,1080789231,597283,25871833,109.414
597283,396034445,0,1080789231,396034445,597283,210.199
597283,2389087317,0,237048498,2389087317,597283,32.083
597417,28149732,0,"[423517338, 614007812]",597417,28149732,119.29899999999999
597417,28149735,0,284347440,28149735,597417,16.269
597417,1832159363,0,423517339,1832159363,597417,118.844
597426,2934921749,0,"[944018225, 438281674]",597426,2934921749,108.74000000000001
597426,60634932,0,251862269,60634932,597426,36.423
597426,60634936,0,251862168,60634936,597426,26.122
20944547,457051435,0,15807950,20944547,457051435,115.88600000000001
20944547,457051355,0,426403447,20944547,457051355,162.13
20944547,435923774,0,247027161,435923774,20944547,121.15800000000002
20944547,457051394,0,231243366,457051394,20944547,25.591
20944548,453215766,0,421540365,453215766,20944548,114.787
20944548,457051432,0,426403442,457051432,20944548,97.42
20944548,396152231,0,426403447,20944548,396152231,164.216
20944548,457051355,0,426403447,457051355,20944548,170.11399999999998
20944550,1997444090,0,27238811,20944550,1997444090,120.212
20944550,457551668,0,230629156,20944550,457551668,242.181
20944550,457560092,0,27238811,457560092,20944550,139.94099999999997
20944550,1964889341,0,"[426255020, 230629156]",1964889341,20944550,85.05099999999999
20944551,20944552,0,8307075,20944552,20944551,164.142
20944551,158844513,0,914039011,20944551,158844513,135.69
20944551,457551668,0,914039011,457551668,20944551,52.833
20944552,20944553,0,27238807,20944552,20944553,93.569
20944552,158843385,0,38628619,158843385,20944552,154.509
20944552,298937045,0,27238807,298937045,20944552,126.467
20944553,444959880,0,27238807,20944553,444959880,42.455
20944553,20944554,0,904937317,20944553,20944554,180.238
20944554,158844839,0,8307077,20944554,158844839,121.303
20944554,158843385,0,230629152,20944554,158843385,97.54899999999999
20944554,409011544,0,230629152,409011544,20944554,137.76299999999998
20944556,1944434945,0,"[601366687, 935544123, 8307079]",20944556,1944434945,132.567
20944556,444959901,0,37909804,20944556,444959901,159.088
20944556,158844418,0,8307079,158844418,20944556,133.46800000000002
20944556,1944434932,0,37909804,1944434932,20944556,76.143
25871539,445043156,0,34436963,25871539,445043156,80.72200000000001
25871539,396034445,0,1080789231,25871539,396034445,229.75300000000001
25871539,445042753,0,1080789231,445042753,25871539,57.927
25871670,25871831,0,15260247,25871670,25871831,69.21900000000001
25871670,25872025,0,"[923545472, 945278713]",25871670,25872025,284.119
25871831,151239264,0,944826127,25871831,151239264,54.046
25871831,25871833,0,183489030,25871833,25871831,55.153000000000006
25871833,151239264,0,15260284,25871833,151239264,103.95200000000001
25872025,6595269581,0,"[945278712, 974488538, 186371501]",25872025,6595269581,866.2439999999999
25872075,1420146737,0,8375715,25872075,1420146737,181.78199999999998
25872075,4902214144,0,"[1031685924, 945561098, 945561099, 945561100, 945561101, 333520062]",25872075,4902214144,649.536
25872075,25872212,0,"[909387488, 909387494]",25872212,25872075,278.49199999999996
25872212,25872232,0,909387495,25872232,25872212,196.38
25872212,25872236,0,"[909387489, 8375719]",25872236,25872212,146.497
25872232,2389060601,0,909387495,2389060601,25872232,164.58800000000002
25872232,2389060616,0,72470714,2389060616,25872232,67.396
25872236,60685982,0,8579876,25872236,60685982,55.586
25872236,175993568,0,"[51835024, 245958755, 779597566]",175993568,25872236,618.9239999999999
25872254,2389060601,0,909387495,25872254,2389060601,35.27
25872254,599043086,0,72470713,599043086,25872254,136.42999999999998
25872254,1938339522,0,428728758,1938339522,25872254,161.976
25872264,1420146734,0,8375726,25872264,1420146734,129.04899999999998
25872264,2389060616,0,72470714,25872264,2389060616,31.261000000000003
25872264,175993584,0,8375721,175993584,25872264,103.24099999999999
25872264,2389060601,0,8375726,2389060601,25872264,77.007
25872274,445042754,0,231245220,25872274,445042754,29.516
25872274,661212055,0,231245218,25872274,661212055,47.766000000000005
25872274,2389062254,0,237745078,2389062254,25872274,33.075
25872274,2580258671,0,"[866553016, 866553013, 252006559]",2580258671,25872274,43.644
25872723,6222710507,0,8580974,25872723,6222710507,105.916
25872723,6213473289,0,933998791,25872723,6213473289,84.074
25872723,25872726,0,933998790,25872726,25872723,24.86
25872726,25872749,0,279006651,25872749,25872726,117.71499999999999
25872726,246650435,0,251863503,246650435,25872726,89.57600000000002
25872749,246650435,0,91924978,25872749,246650435,59.73500000000001
25872749,25872763,0,"[237048504, 8580993, 675926657, 933998793]",25872763,25872749,54.599999999999994
25872749,461880885,0,279006651,461880885,25872749,60.914
25872763,3824584734,0,379089474,25872763,3824584734,26.243000000000002
25872763,25872766,0,"[675926656, 945239373, 237048447]",25872766,25872763,130.331
25872763,3824584730,0,675926655,3824584730,25872763,24.256999999999998
25872766,1955027468,0,8579021,25872766,1955027468,86.355
25872766,6213473290,0,"[237048449, 617733009]",6213473290,25872766,156.89
25875892,3174980838,0,4331479,25875892,3174980838,14.021
25875892,4230265786,0,423420318,25875892,4230265786,18.106
25875892,246650444,0,230636459,246650444,25875892,16.826
25875912,452091602,0,38305958,25875912,452091602,206.90300000000002
25875912,4063613484,0,"[437879962, 279006654]",25875912,4063613484,93.66499999999999
25875912,2832740797,0,279006654,2832740797,25875912,58.19
25875921,4063613482,0,"[935852568, 404091934]",4063613482,25875921,398.26300000000003
25908565,25908745,0,4331531,25908565,25908745,44.794999999999995
25908565,1203308493,0,"[934422837, 415092143]",25908565,1203308493,96.248
25908745,4063613483,0,4331531,25908745,4063613483,44.182
25908745,4063613482,0,104288843,25908745,4063613482,45.48500000000001
25927014,461875493,0,"[8140930, 312292779]",25927014,461875493,66.789
25927014,9167694196,0,804468955,9167694196,25927014,134.989
25927014,4063613488,0,8140930,4063613488,25927014,93.76
25927015,2391261453,0,929005448,25927015,2391261453,18.328
25927015,461875493,0,312292783,461875493,25927015,69.499
25927015,4130767744,0,404091940,4130767744,25927015,108.97
25927018,4130767750,0,8140928,25927018,4130767750,71.69800000000001
25927018,4063613486,0,"[4331532, 1031194125]",25927018,4063613486,179.38700000000003
25927018,25927318,0,415092140,25927318,25927018,171.181
25927315,2587277917,0,38881350,25927315,2587277917,47.82
25927315,6188377714,0,415092142,25927315,6188377714,69.872
25927315,2391261453,0,415092142,2391261453,25927315,83.07
25927318,3174980838,0,345579992,3174980838,25927318,77.39800000000001
25927318,4161670391,0,8140929,4161670391,25927318,83.421
25928248,246650444,0,230636459,25928248,246650444,157.60399999999998
25928248,246650423,0,933980081,246650423,25928248,95.422
25928248,2391290542,0,4331478,2391290542,25928248,101.89599999999999
25928388,60734206,0,"[934316905, 4331475]",25928388,60734206,229.372
25928388,457055005,0,"[656931849, 38584787]",25928388,457055005,125.36000000000001
25928388,25928439,0,191591086,25928439,25928388,86.89500000000001
25928438,2021790380,0,"[191591089, 866553011, 191591092]",25928438,2021790380,60.004
25928438,2391290551,0,935969125,2391290551,25928438,39.968
25928438,5362445659,0,91862125,5362445659,25928438,239.35699999999997
25928439,2556256416,0,38584786,25928439,2556256416,391.557
25928439,25928614,0,191591086,25928614,25928439,11.418
25928614,2368800294,0,"[423145313, 866553012, 191591084]",2368800294,25928614,64.575
25928614,4228472160,0,"[191591106, 782676483, 8377164]",4228472160,25928614,143.10400000000004
25928755,60685894,0,8579810,25928755,60685894,214.212
25928755,60685904,0,"[8579812, 522751870]",25928755,60685904,117.929
25928755,4228472161,0,"[49436034, 237876565, 49436030]",25928755,4228472161,516.815
25928755,60685898,0,237876563,60685898,25928755,64.93599999999999
25928842,60685898,0,"[779584032, 4331470, 48651838]",25928842,60685898,636.083
25928842,25928939,0,"[273593636, 273593637, 901220871, 901221674, 936396989]",25928939,25928842,339.35
25928842,60685428,0,"[867258184, 936396990]",60685428,25928842,70.656
25928939,285488804,0,"[8579499, 901230766]",25928939,285488804,52.866
25928939,176011687,0,"[252274187, 565531844]",176011687,25928939,744.7939999999998
25928961,25928964,0,"[565528400, 153242233, 273593639]",25928961,25928964,140.54000000000002
25928961,60685472,0,936107422,25928961,60685472,47.7
25928961,4251881423,0,936445516,4251881423,25928961,24.561
25928964,7284727152,0,"[901219749, 321139487]",25928964,7284727152,73.601
25928964,8377467363,0,"[901220297, 38508517]",25928964,8377467363,90.03699999999999
25929039,176009843,0,997426060,25929039,176009843,83.426
25929039,176012608,0,933595463,176012608,25929039,98.107
25929039,3278570088,0,273593640,3278570088,25929039,401.59
25929410,25929413,0,943943780,25929410,25929413,94.638
25929410,176009843,0,"[524259146, 943031362, 524220662]",176009843,25929410,294.661
25929410,459347453,0,"[38738768, 937280724]",459347453,25929410,270.235
25929413,60641204,0,172433904,25929413,60641204,130.755
25929413,5496814869,0,524259147,25929413,5496814869,193.659
25929414,1833396358,0,"[524259568, 524259577, 940228396]",1833396358,25929414,642.218
25929414,2583653699,0,172433906,2583653699,25929414,246.695
25929616,5711623858,0,61819124,25929616,5711623858,472.90500000000003
25929616,2619793475,0,256314554,2619793475,25929616,320.193
25929616,5496814869,0,"[524259563, 524259573, 944411799]",5496814869,25929616,641.4040000000001
25947658,2627719093,0,257174614,25947658,2627719093,11.283
25947658,172020361,0,"[62268208, 498338005, 498338006, 942902847]",172020361,25947658,224.652
25947658,2627737591,0,"[942915234, 944346220]",25947658,2627737591,296.483
25947658,2489402593,0,"[942902849, 940228395, 1002446429]",2489402593,25947658,269.94
28143671,60624720,0,424217260,28143671,60624720,129.163
28143671,1953778537,0,672491572,28143671,1953778537,78.116
28143671,4477205579,0,"[952254392, 672491572, 952254391]",4477205579,28143671,92.515
28149732,28149733,0,423517340,28149733,28149732,15.654
28149733,28149735,0,329262771,28149733,28149735,118.944
28149733,303562455,0,684774258,303562455,28149733,91.007
28149735,2614771210,0,705027596,28149735,2614771210,118.36999999999999
28149735,184041848,0,427253374,184041848,28149735,55.343
28149737,5054627418,0,173685910,28149737,5054627418,14.965
28149737,1844541375,0,423517227,28149737,1844541375,136.40699999999998
28149737,172025739,0,"[935966370, 426505734]",172025739,28149737,339.41700000000003
28149737,7291583644,0,"[936831584, 262851657, 513802091, 952254395, 952254396]",7291583644,28149737,691.6719999999999
28149740,60624741,0,426511732,28149740,60624741,56.199
28149740,2685057627,0,936896263,28149740,2685057627,123.59599999999999
28149740,466174524,0,426510608,466174524,28149740,152.963
28149749,28149750,0,4534456,28149749,28149750,110.667
28149749,60624717,0,"[589525865, 424217349]",28149749,60624717,94.46799999999999
28149749,1953778537,0,"[4534456, 237587388]",1953778537,28149749,62.789
28149750,142796703,0,129439666,28149750,142796703,34.64
28149750,7292638271,0,"[8578537, 780914658, 780914657]",7292638271,28149750,221.229
28149752,1952545091,0,"[977382031, 8578563, 972565239]",28149752,1952545091,50.59199999999999
28149752,1421376041,0,9931242,28149752,1421376041,61.50099999999999
28149752,142796703,0,"[244821402, 426510831]",142796703,28149752,105.916
28149754,1953778527,0,8148347,28149754,1953778527,53.092
28149754,1953778537,0,184006416,28149754,1953778537,68.33500000000001
28149754,28149758,0,"[262851659, 9931243]",28149758,28149754,275.93100000000004
28149758,1943676002,0,183932654,28149758,1943676002,114.42899999999999
28149758,4350479456,0,407769038,4350479456,28149758,3.93
28149783,1944434934,0,230637723,28149783,1944434934,21.171
28149783,1945948398,0,230637724,28149783,1945948398,109.46099999999998
28149783,444959760,0,"[424210746, 418821250]",444959760,28149783,117.227
28149783,1421376041,0,255838497,1421376041,28149783,272.12499999999994
28800598,267290136,0,231350452,28800598,267290136,118.308
28800598,28800732,0,428102025,28800598,28800732,13.940999999999999
28800598,303562377,0,"[428102020, 230784085]",303562377,28800598,159.16299999999998
28800598,303562385,0,"[27644480, 436325254]",303562385,28800598,235.452
28800609,28800741,0,231350457,28800609,28800741,13.943
28800609,151271481,0,231350476,28800609,151271481,145.024
28800609,142805147,0,"[231355578, 934078021]",142805147,28800609,268.688
28800609,1550389888,0,231350456,1550389888,28800609,12.343
28800732,303561679,0,231350464,28800732,303561679,375.48799999999994
28800732,303561676,0,"[428102021, 427253366]",28800732,303561676,156.75799999999998
28800732,466070875,0,427253366,466070875,28800732,117.83
28800739,28800740,0,231350472,28800739,28800740,14.757
28800739,4374470547,0,946632373,28800739,4374470547,64.322
28800739,303788621,0,426605965,303788621,28800739,96.065
28800740,4374470548,0,231350483,4374470548,28800740,64.772
28800741,1550389890,0,231350461,28800741,1550389890,12.256
28800741,303561642,0,231350479,28800741,303561642,179.91
28800741,303561635,0,760078425,303561635,28800741,72.355
40257921,466909078,0,857159256,40257921,466909078,42.284
40257921,7991681751,0,945630752,7991681751,40257921,10.654
40257921,8754308409,0,945632750,8754308409,40257921,100.453
40257931,466909099,0,425942443,466909099,40257931,94.688
40257931,1393378087,0,"[425942460, 425942463]",40257931,1393378087,137.094
40257931,303872512,0,942733746,40257931,303872512,144.704
40257931,466909274,0,"[425942458, 27668372]",466909274,40257931,108.501
60609606,2454873871,0,244923470,60609606,2454873871,57.043
60609606,5695598429,0,380969457,5695598429,60609606,32.672
60609606,444959835,0,244923470,444959835,60609606,45.915
60609607,444959835,0,8578556,60609607,444959835,35.089
60609607,60609610,0,184742325,60609610,60609607,124.16900000000001
60609607,924840627,0,"[1078004642, 129439669]",924840627,60609607,267.257
60609610,1421376033,0,128675561,1421376033,60609610,236.77599999999998
60609610,1421393958,0,"[128894336, 260203873]",1421393958,60609610,233.796
60609643,5381067437,0,186496572,60609643,5381067437,14.576
60609643,165467521,0,"[186496570, 976379381, 424210751]",60609643,165467521,164.88899999999998
60609643,2098758071,0,369139050,2098758071,60609643,28.019
60609643,4236712736,0,976701671,4236712736,60609643,22.672
60609673,1953466367,0,230628541,60609673,1953466367,175.861
60609673,60624596,0,424211551,60609673,60624596,133.60399999999998
60609673,1953466363,0,230628541,1953466363,60609673,135.52800000000002
